StarName,Reference,RA,Decl,Teff,logg,Metallicity,Fe,Fe_H_error,Sr,Sr_Fe_error,Y,Y_Fe_error,Zr,Zr_Fe_error,Nb,Nb_Fe_error,Pd,Pd_Fe_error,Ag,Ag_Fe_error,Eu,Eu_Fe_error,Tb,Tb_Fe_error,Tm,Tm_Fe_error,Hf,Hf_Fe_error,Ir,Ir_Fe_error,longitude,latitude,Coord_X,Coord_Y,Coord_Z,VX,VY,VZ,RV
CS22960-053,I.U.Roederer AJ 147 136 2014,22 16 17.00,-43 54 21.0,4860,1.65,-3.33,-3.64,0.15,-0.01,0.25,<0.41,,<1.12,,,,,,,,<0.7,,,,<2.58,,<2.29,,,,354 16 11.75,-54 41 18.99,8512.94,-854.217,-12078.5,163.337,-16.39,-231.75,284
CS22960-064,I.U.Roederer AJ 147 136 2014,22 24 00.14,-42 35 16.1,5060,2.2,-2.77,-2.77,0.14,0.24,0.24,-0.18,0.17,0.35,0.15,<2,,,,,,0.34,0.16,<1.15,,,,<1.46,,,,,,,,,,,,
CS22960-064,I.U.Roederer ApJ 784 158 2014,22 24 00.14,-42 35 16.1,5060,2.2,-2.77,-2.77,0.14,0.24,0.24,-0.18,0.17,0.35,0.15,<2,,,,,,0.34,0.16,<1.15,,,,<1.46,,,,,,,,,,,,
CS22963-004,I.U.Roederer AJ 147 136 2014,02 56 46.57,-04 51 17.5,5060,2.15,-3.85,-4.09,0.15,-0.95,0.15,<0.31,,<0.9,,<3.57,,,,,,<1.37,,<2.52,,<2.56,,<3,,,,181 49 07.39,-52 45 25.34,-5713.27,-181.415,-7519.04,-178.08,-5.655,-234.365,294.4
CS22963-004,D.K.Lai ApJ 681 1524 2008,02 56 46.57,-04 51 17.5,5659,3.4,-3.5,-3.42,0.03,-0.7,0.1,,,,,,,,,,,<1.42,,,,,,,,,,181 49 07.39,-52 45 25.34,-1802.02,-57.22,-2371.58,,,,
CS22964-115,I.U.Roederer AJ 147 136 2014,19 57 28.55,-40 00 03.5,6090,3.7,-2.7,-2.82,0.21,0.63,0.24,0.33,0.21,0.83,0.16,<2.99,,,,,,<1.16,,<2.43,,<2.39,,<2.98,,,,,,,,,,,,
CS22964-176,I.U.Roederer AJ 147 136 2014,20 02 07.13,-40 21 25.9,6000,3.7,-2.46,-2.56,0.21,0.01,0.24,-0.29,0.19,,,<2.67,,,,,,<1.22,,<2.71,,<2.04,,<2.63,,,,,,,,,,,,
CS22964-183,I.U.Roederer AJ 147 136 2014,20 01 12.76,-40 49 09.9,6010,3.65,-2.87,-3.01,0.21,-1.06,0.14,<-0.06,,<0.83,,<2.99,,,,,,<1.24,,<2.44,,<2.32,,<2.81,,,,,,,,,,,,
CS22964-214,I.U.Roederer AJ 147 136 2014,20 05 50.00,-39 27 43.3,6180,3.75,-2.84,-2.95,0.21,-0.14,0.17,-0.24,0.3,<0.78,,<3.09,,,,,,<1.24,,<2.56,,<2.35,,<2.88,,,,001 09 00.54,-30 35 39.47,1144.95,22.987,-677.105,35.458,0.712,-20.969,41.2
CS22965-016,I.U.Roederer AJ 147 136 2014,21 57 07.92,-04 34 08.4,4770,1.4,-2.93,-3.13,0.14,0.52,0.19,-0.11,0.15,0.4,0.15,<1.77,,,,,,-0.04,0.18,<1.49,,<1.09,,<1.67,,,,053 32 25.91,-42 46 04.54,5387.02,7290.92,-8385.03,-39.175,-53.02,60.977,-89.8
CS22965-054,I.U.Roederer AJ 147 136 2014,22 06 30.30,-02 32 34.4,6050,3.7,-2.89,-3.17,0.22,0.39,0.23,<0.31,,<1.69,,<3.42,,,,,,<1.73,,<3.43,,<2.68,,<3.26,,,,057 38 53.14,-43 32 27.19,997.227,1574.3,-1770.99,-109.348,-172.626,194.193,-281.9
